Artist_ids,Artist_name,Artist_popularity,Artist_href,Artist_followers,Artist_genres,Artist_images,Types
2ZLAPSgdMTOcovno5mGBZW,Jux,10,https://api.spotify.com/v1/artists/2ZLAPSgdMTOcovno5mGBZW,161,azontobeats,https://i.scdn.co/image/be21227d63913d8314080a01768fb648a8b2051a,artist
2zlMeTjA7szCmqcJjBzYXJ,Skip James,35,https://api.spotify.com/v1/artists/2zlMeTjA7szCmqcJjBzYXJ,17142,acoustic blues -  blues -  chicago blues -  country blues -  delta blues -  electric blues -  jazz blues -  louisiana blues -  memphis blues -  piano blues -  piedmont blues -  soul blues -  texas blues -  traditional blues -  traditional folk,https://i.scdn.co/image/31a34e4d188ed0f66519e4a416008dd6ea662246,artist
2ZlN2GyrQB6eOIn5rKBzOA,Chonique Sneed,25,https://api.spotify.com/v1/artists/2ZlN2GyrQB6eOIn5rKBzOA,1198,,https://i.scdn.co/image/eaf85a9db518f5fd815f1a82b1f92e3edce4c661,artist
2zlQXjPLjEy5CbM3nQglSg,Frank D Jonez,0,https://api.spotify.com/v1/artists/2zlQXjPLjEy5CbM3nQglSg,3,,https://i.scdn.co/image/4aa48e49af8faeafc60e0dfb9f286266166bf787,artist
2zlvF7Vp4w7Kwh3dfzcNKh,Kyle Krone,8,https://api.spotify.com/v1/artists/2zlvF7Vp4w7Kwh3dfzcNKh,197,,https://i.scdn.co/image/86dcbdafd872a9bf5e4958513030ac933acc7213,artist
2zmDsdt1inLDRmcwSBxSyI,EVSL,0,https://api.spotify.com/v1/artists/2zmDsdt1inLDRmcwSBxSyI,0,,https://i.scdn.co/image/e86ee8b5eb18c6659b4db937eba6b3f5760fb625,artist
2zMPCWZxFPjuGSJhwYsTnB,Nerious Joseph,4,https://api.spotify.com/v1/artists/2zMPCWZxFPjuGSJhwYsTnB,96,lovers rock,https://i.scdn.co/image/ec5e4cc80a8e79bfff7e9c562693591cb44f86a0,artist
2zMR6o1ZB0rbCbBQfnRRoW,Ceno Reese,0,https://api.spotify.com/v1/artists/2zMR6o1ZB0rbCbBQfnRRoW,0,,https://i.scdn.co/image/9f7a8a6760840d60645788c5fde7cd66ac9bc872,artist
2ZMxKiUR6hog5HunvJHEsz,The Requisite,0,https://api.spotify.com/v1/artists/2ZMxKiUR6hog5HunvJHEsz,37,,https://i.scdn.co/image/c6801a3d7f503dbaf38e86e313d0fc4fa6bb62d6,artist
2ZNaZzXQLYhM8LUd8d10j2,Midiflip,0,https://api.spotify.com/v1/artists/2ZNaZzXQLYhM8LUd8d10j2,1,,https://i.scdn.co/image/536ca80954cf525fff555319efdccded1c4c5ce7,artist
2znK4wNHFUwPKYyTJFOj2R,Marie Modiano,15,https://api.spotify.com/v1/artists/2znK4wNHFUwPKYyTJFOj2R,457,,https://i.scdn.co/image/ad3b184d6e596525d8d7f51d38dcdf7a42a5daf3,artist
2zP8c9sZ077oSS7J4Y6mXv,Woti Trela,0,https://api.spotify.com/v1/artists/2zP8c9sZ077oSS7J4Y6mXv,4,,https://i.scdn.co/image/ddbd48c61dc72070ecc5de803dfbf9438a204b77,artist
2zppFPrBfa6GRR8yCtI7c3,Tonanni,9,https://api.spotify.com/v1/artists/2zppFPrBfa6GRR8yCtI7c3,193,deep dance pop,https://i.scdn.co/image/abec37047cb1f753890ccd54c52cd775ee0ee3fd,artist
