Album_ids,Album_name,Album_type,Total_no_Track,Album_label,Album_popularity,Album_release_date,Types,Album_href,Available_markets,Album_images,Artist1_name,Artist1_id,Artist2_name,Artist2_id,Title_lower
00mgOH1neHodb3xSAIkeQz,Ice Cream Man,single,2,TEMPO,0,1995,album,https://api.spotify.com/v1/albums/00mgOH1neHodb3xSAIkeQz,AD -  AR -  AT -  AU -  BE -  BG -  BO -  BR -  CA -  CH -  CL -  CO -  CR -  CY -  CZ -  DE -  DK -  DO -  EC -  EE -  ES -  FI -  FR -  GB -  GR -  GT -  HK -  HN -  HU -  ID -  IE -  IS -  IT -  JP -  LI -  LT -  LU -  LV -  MC -  MT -  MX -  MY -  NI -  NL -  NO -  NZ -  PA -  PE -  PH -  PL -  PT -  PY -  SE -  SG -  SK -  SV -  TR -  TW -  US -  UY,https://i.scdn.co/image/1ccf46992d28fed80e916dd6a5d058396349d5bf,ZZZippoo Man,7el2vhXIQrGhv1EnjBazo0,Null,0,ice cream man
00MudAJNGTxCUkQrtRz2hY,Last Time Around,album,12,Rhino/Elektra,38,1968,album,https://api.spotify.com/v1/albums/00MudAJNGTxCUkQrtRz2hY,AD -  AR -  AT -  AU -  BE -  BG -  BO -  BR -  CA -  CH -  CL -  CO -  CR -  CY -  CZ -  DE -  DK -  DO -  EC -  EE -  ES -  FI -  FR -  GB -  GR -  GT -  HK -  HN -  HU -  ID -  IE -  IS -  IT -  JP -  LI -  LT -  LU -  LV -  MC -  MT -  MX -  MY -  NI -  NL -  NO -  NZ -  PA -  PE -  PH -  PL -  PT -  PY -  SE -  SG -  SK -  SV -  TR -  TW -  US -  UY,https://i.scdn.co/image/57da927f0a4ed73fcebc025868403f8c39e49950,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Null,0,last time around
00mXaFJnij0a0ZrcVsFl1i,Rage of Discipline,album,10,Kung Fu Records,17,28-01-2005,album,https://api.spotify.com/v1/albums/00mXaFJnij0a0ZrcVsFl1i,US,https://i.scdn.co/image/4af023cc97165abe33073644ac131532a79bbef1,Righteous Jams,2BVoyxv1sLJvx2RdbHiESM,Null,0,rage of discipline
00NABajpGsPCObfcl4LJsM,My Love Is Your Love,album,13,Arista,53,17-11-1998,album,https://api.spotify.com/v1/albums/00NABajpGsPCObfcl4LJsM,AD -  AR -  AT -  AU -  BE -  BG -  BO -  BR -  CA -  CH -  CL -  CO -  CR -  CY -  CZ -  DE -  DK -  DO -  EC -  EE -  ES -  FI -  FR -  GB -  GR -  GT -  HK -  HN -  HU -  ID -  IE -  IS -  IT -  JP -  LI -  LT -  LU -  LV -  MC -  MT -  MX -  MY -  NI -  NL -  NO -  NZ -  PA -  PE -  PH -  PL -  PT -  PY -  SE -  SG -  SK -  SV -  TR -  TW -  US -  UY,https://i.scdn.co/image/f1f2366acaeef33c31bb7260d706ac47632cf6d4,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Null,0,my love is your love
00OOqz2LmQJu9i0NZJw6L3,Harvest for the World,single,1,Resonation,0,05-11-2012,album,https://api.spotify.com/v1/albums/00OOqz2LmQJu9i0NZJw6L3,AD -  AR -  AT -  AU -  BE -  BG -  BO -  BR -  CA -  CH -  CL -  CO -  CR -  CY -  CZ -  DE -  DK -  DO -  EC -  EE -  ES -  FI -  FR -  GB -  GR -  GT -  HK -  HN -  HU -  ID -  IE -  IS -  IT -  JP -  LI -  LT -  LU -  LV -  MC -  MT -  MX -  MY -  NI -  NL -  NO -  NZ -  PA -  PE -  PH -  PL -  PT -  PY -  SE -  SG -  SK -  SV -  TR -  TW -  US -  UY,https://i.scdn.co/image/3da9f252ab448450a321d172db723bc10a770ff3,Andy Vargas,3oqXjhbfHHAkNaZLsP8qZH,Null,0,harvest for the world
00p5hTwryK9iuF8GYZu02R,New World Order,album,18,Giant Elephant,4,10-03-2015,album,https://api.spotify.com/v1/albums/00p5hTwryK9iuF8GYZu02R,AD -  AR -  AT -  AU -  BE -  BG -  BO -  BR -  CA -  CH -  CL -  CO -  CR -  CY -  CZ -  DE -  DK -  DO -  EC -  EE -  ES -  FI -  FR -  GB -  GR -  GT -  HK -  HN -  HU -  ID -  IE -  IS -  IT -  JP -  LI -  LT -  LU -  LV -  MC -  MT -  MX -  MY -  NI -  NL -  NO -  NZ -  PA -  PE -  PH -  PL -  PT -  PY -  SE -  SG -  SK -  SV -  TR -  TW -  US -  UY,https://i.scdn.co/image/ce2608f62810b478b7419dbdf425e4d3700e78dc,Nick Jame$,2S7QzOUakIEF9HYCrrg8Vo,Null,0,new world order
00pLZlq0e4GpBxGq0p8Sd1,Mirror Image,album,15,12:12 Records,0,01-01-2003,album,https://api.spotify.com/v1/albums/00pLZlq0e4GpBxGq0p8Sd1,AD -  AR -  AT -  AU -  BE -  BG -  BO -  BR -  CA -  CH -  CL -  CO -  CR -  CY -  CZ -  DE -  DK -  DO -  EC -  EE -  ES -  FI -  FR -  GB -  GR -  GT -  HK -  HN -  HU -  ID -  IE -  IS -  IT -  JP -  LI -  LT -  LU -  LV -  MC -  MT -  MX -  MY -  NI -  NL -  NO -  NZ -  PA -  PE -  PH -  PL -  PT -  PY -  SE -  SG -  SK -  SV -  TR -  TW -  US -  UY,https://i.scdn.co/image/1b88dd77d910f0ddf0e6ff9cac830eecd010d2ad,Mark Mangold,1j0MKx2rBVdpKsS0WZxMhN,Null,0,mirror image
00pqlQzzRff2lKXugSYrBX,On the Road Again,single,1,Maameen Records,0,25-03-2014,album,https://api.spotify.com/v1/albums/00pqlQzzRff2lKXugSYrBX,AD -  AR -  AT -  AU -  BE -  BG -  BO -  BR -  CA -  CH -  CL -  CO -  CR -  CY -  CZ -  DE -  DK -  DO -  EC -  EE -  ES -  FI -  FR -  GB -  GR -  GT -  HK -  HN -  HU -  ID -  IE -  IS -  IT -  JP -  LI -  LT -  LU -  LV -  MC -  MT -  MX -  MY -  NI -  NL -  NO -  NZ -  PA -  PE -  PH -  PL -  PT -  PY -  SE -  SG -  SK -  SV -  TR -  TW -  US -  UY,https://i.scdn.co/image/cc6dbbc31104f3505cf05c62f9ceb31be95c69f8,Ras Donovan-I,27Hz9rI1viBppx6vaDfl7C,Null,0,on the road again
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
